Ranking,Title,Type,Japanese,Aired,Episodes,Duration,Score,Source,Genres,Themes,Licensors,Producers,Rating,Status,Studios,Members
1,Fullmetal Alchemist: Brotherhood,TV,鋼の錬金術師 FULLMETAL ALCHEMIST,"Apr 5, 2009 to Jul 4, 2010",64,24 min. per ep.,9.14,Manga,"ActionAction,AdventureAdventure,DramaDrama,FantasyFantasy",MilitaryMilitary,Funimation,"Aniplex,Square Enix,Mainichi Broadcasting System,Studio Moriken",R - 17+ (violence & profanity),Finished Airing,Bones,"2,893,578"
2,Gintama°,TV,銀魂°,"Apr 8, 2015 to Mar 30, 2016",51,24 min. per ep.,9.08,Manga,"ActionAction,ComedyComedy,Sci-FiSci-Fi","Gag HumorGag Humor,HistoricalHistorical,ParodyParody,SamuraiSamurai",Funimation,"TV Tokyo,Aniplex,Dentsu",PG-13 - Teens 13 or older,Finished Airing,Bandai Namco Pictures,"537,065"
3,Steins;Gate,TV,STEINS;GATE,"Apr 6, 2011 to Sep 14, 2011",24,24 min. per ep.,9.08,Visual novel,"DramaDrama,Sci-FiSci-Fi,SuspenseSuspense","PsychologicalPsychological,Time TravelTime Travel",Funimation,"Frontier Works,Media Factory,Movic,AT-X,Kadokawa Pictures Japan,Nitroplus",PG-13 - Teens 13 or older,Finished Airing,White Fox,"2,245,494"
4,Shingeki no Kyojin Season 3 Part 2,TV,進撃の巨人 Season3 Part.2,"Apr 29, 2019 to Jul 1, 2019",10,23 min. per ep.,9.07,Manga,"ActionAction,DramaDrama","GoreGore,MilitaryMilitary,SurvivalSurvival",Funimation,"Production I.G,Dentsu,Mainichi Broadcasting System,Pony Canyon,Kodansha,Techno Sound,Pony Canyon Enterprise",R - 17+ (violence & profanity),Finished Airing,Wit Studio,"1,848,076"
5,Gintama',TV,銀魂',"Apr 4, 2011 to Mar 26, 2012",51,24 min. per ep.,9.05,Manga,"ActionAction,ComedyComedy,Sci-FiSci-Fi","Gag HumorGag Humor,HistoricalHistorical,ParodyParody,SamuraiSamurai",add some,"TV Tokyo,Aniplex,Dentsu,Trinity Sound,Miracle Robo,Studio Jack,Shueisha",PG-13 - Teens 13 or older,Finished Airing,Sunrise,"473,422"
6,Gintama: The Final,Movie,銀魂 THE FINAL,8-Jan-21,1,1 hr. 44 min.,9.05,Manga,"ActionAction,ComedyComedy,DramaDrama,Sci-FiSci-Fi","Gag HumorGag Humor,HistoricalHistorical,ParodyParody,SamuraiSamurai",Eleven Arts,"TV Tokyo,Warner Bros. Japan",PG-13 - Teens 13 or older,Finished Airing,Bandai Namco Pictures,"103,866"
7,Hunter x Hunter (2011),TV,HUNTER×HUNTER（ハンター×ハンター）,"Oct 2, 2011 to Sep 24, 2014",148,23 min. per ep.,9.05,Manga,"ActionAction,AdventureAdventure,FantasyFantasy",None,VIZ Media,"VAP,Nippon Television Network,Shueisha",PG-13 - Teens 13 or older,Finished Airing,Madhouse,"2,382,431"
8,Gintama': Enchousen,TV,銀魂' 延長戦,"Oct 4, 2012 to Mar 28, 2013",13,24 min. per ep.,9.04,Manga,"ActionAction,ComedyComedy,Sci-FiSci-Fi","Gag HumorGag Humor,HistoricalHistorical,ParodyParody,SamuraiSamurai",add some,"TV Tokyo,Aniplex,Dentsu,Shueisha,Miracle Bus",PG-13 - Teens 13 or older,Finished Airing,Sunrise,"282,286"
9,Fruits Basket: The Final,TV,フルーツバスケット The Final,"Apr 6, 2021 to Jun 29, 2021",13,23 min. per ep.,9.03,Manga,"DramaDrama,RomanceRomance,SupernaturalSupernatural",None,Funimation,"TV Tokyo,TV Osaka,Nihon Ad Systems,Hakusensha,Avex Pictures,TMS Music,8PAN",PG-13 - Teens 13 or older,Finished Airing,TMS Entertainment,"351,016"
10,Ginga Eiyuu Densetsu,OVA,銀河英雄伝説,"Jan 8, 1988 to Mar 17, 1997",110,26 min. per ep.,9.03,Novel,"DramaDrama,Sci-FiSci-Fi","Adult CastAdult Cast,MilitaryMilitary,SpaceSpace",Sentai Filmworks,"TV Tokyo,Kitty Films,Tokuma Shoten,Tokuma Japan Communications,Wright Staff",R - 17+ (violence & profanity),Finished Airing,K-Factory,"280,665"
11,Spy x Family,TV,SPY×FAMILY,"Apr 9, 2022 to Jun 25, 2022",12,24 min. per ep.,9.02,Manga,"ActionAction,ComedyComedy",ChildcareChildcare,add some,"TV Tokyo,Shogakukan-Shueisha Productions,TOHO animation,Shueisha",PG-13 - Teens 13 or older,Currently Airing,Wit Studio,"770,326"
